episode,timestep,reward
19,2000,-273.4601
39,4000,-270.7369
59,6000,-259.2902
79,8000,-261.5972
99,10000,-241.5094
119,12000,-231.743
139,14000,-228.4288
159,16000,-222.9518
179,18000,-214.685
199,20000,-214.0817
219,22000,-195.8648
239,24000,-193.7479
259,26000,-178.7955
279,28000,-179.6832
299,30000,-160.115
319,32000,-157.9317
339,34000,-146.0538
359,36000,-145.2111
379,38000,-139.5429
399,40000,-138.3946
419,42000,-124.1089
439,44000,-129.3608
459,46000,-114.3059
479,48000,-120.3821
499,50000,-110.1172
519,52000,-108.1601
539,54000,-100.6546
559,56000,-105.2624
579,58000,-89.3244
599,60000,-89.9772
619,62000,-80.7441
639,64000,-83.5089
659,66000,-78.2185
679,68000,-74.5006
699,70000,-71.1351
719,72000,-69.4772
739,74000,-67.6032
759,76000,-68.5561
779,78000,-63.3769
799,80000,-62.1437
819,82000,-55.8338
839,84000,-56.9117
859,86000,-55.8552
879,88000,-57.268
899,90000,-53.844
919,92000,-50.8972
939,94000,-49.9426
959,96000,-50.2584
979,98000,-48.5262
999,100000,-48.7987
1019,102000,-46.4399
1039,104000,-44.1058
1059,106000,-45.3624
1079,108000,-45.3106
1099,110000,-43.5305
1119,112000,-43.7521
1139,114000,-43.7513
1159,116000,-42.0394
1179,118000,-42.7759
1199,120000,-41.766
1219,122000,-41.0785
1239,124000,-40.8474
1259,126000,-40.5091
1279,128000,-41.101
1299,130000,-40.3724
1319,132000,-38.5502
1339,134000,-37.6353
1359,136000,-38.2376
1379,138000,-38.2178
1399,140000,-36.8377
1419,142000,-35.3457
1439,144000,-36.5587
1459,146000,-36.6468
1479,148000,-37.1098
1499,150000,-36.4429
1519,152000,-36.0501
1539,154000,-35.4744
1559,156000,-34.8451
1579,158000,-34.4466
1599,160000,-33.7963
1619,162000,-33.3162
1639,164000,-33.531
1659,166000,-32.34
1679,168000,-32.1927
1699,170000,-31.6429
1719,172000,-31.7383
1739,174000,-30.3508
1759,176000,-30.7648
1779,178000,-30.9464
1799,180000,-29.003
1819,182000,-29.0312
1839,184000,-29.0436
1859,186000,-27.481
1879,188000,-27.937
1899,190000,-26.7377
1919,192000,-27.1148
1939,194000,-26.18
1959,196000,-26.9252
1979,198000,-25.9149
1999,200000,-25.3642
2019,202000,-25.025
2039,204000,-24.2683
2059,206000,-24.1889
2079,208000,-24.4547
2099,210000,-23.6717
2119,212000,-23.5513
2139,214000,-23.1783
2159,216000,-23.4623
2179,218000,-22.8784
2199,220000,-22.5352
2219,222000,-21.3099
2239,224000,-21.7088
2259,226000,-21.4424
2279,228000,-21.4559
2299,230000,-21.2904
2319,232000,-20.9308
2339,234000,-21.2639
2359,236000,-21.0858
2379,238000,-20.3783
2399,240000,-21.0319
2419,242000,-19.2564
2439,244000,-19.3742
2459,246000,-19.4687
2479,248000,-18.9259
2499,250000,-18.7729
2519,252000,-18.2177
2539,254000,-17.6826
2559,256000,-18.21
2579,258000,-17.933
2599,260000,-17.9087
2619,262000,-16.9785
2639,264000,-16.8
2659,266000,-16.5297
2679,268000,-16.5814
2699,270000,-16.3037
2719,272000,-16.0874
2739,274000,-15.8268
2759,276000,-15.6717
2779,278000,-15.5057
2799,280000,-14.9658
2819,282000,-15.163
2839,284000,-15.2048
2859,286000,-14.6927
2879,288000,-14.5468
2899,290000,-14.8679
2919,292000,-14.716
2939,294000,-13.9919
2959,296000,-13.7201
2979,298000,-13.7623
2999,300000,-13.708
