episode,timestep,reward
1,200,-291.3249
3,400,-300.745
5,600,-283.0659
7,800,-269.2633
9,1000,-261.0831
11,1200,-251.1667
13,1400,-270.7262
15,1600,-311.8721
17,1800,-246.5992
19,2000,-235.4241
21,2200,-193.1731
23,2400,-220.1358
25,2600,-205.8671
27,2800,-200.151
29,3000,-162.9971
31,3200,-144.0943
33,3400,-165.1863
35,3600,-146.8737
37,3800,-115.3678
39,4000,-121.6457
41,4200,-78.2035
43,4400,-62.8154
45,4600,-91.7568
47,4800,-46.9496
49,5000,-58.0507
51,5200,-35.733
53,5400,-161.6465
55,5600,-68.0854
57,5800,-59.878
59,6000,-1947.908
61,6200,-96.2876
63,6400,-79.7755
65,6600,-55.6132
67,6800,-52.1875
69,7000,-39.0658
71,7200,-28.3253
73,7400,-35.5004
75,7600,-45.8418
77,7800,-27.241
79,8000,-25.2872
81,8200,-25.586
83,8400,-22.4023
85,8600,-17.8742
87,8800,-17.8676
89,9000,-21.4603
91,9200,-21.5931
93,9400,-16.9186
95,9600,-16.6586
97,9800,-25.2888
99,10000,-22.532
101,10200,-16.675
103,10400,-15.1766
105,10600,-16.4687
107,10800,-14.0542
109,11000,-17.3016
111,11200,-20.0101
113,11400,-25.3124
115,11600,-17.4337
117,11800,-17.3757
119,12000,-17.8818
121,12200,-12.3421
123,12400,-15.165
125,12600,-24.5018
127,12800,-10.8253
129,13000,-12.4129
131,13200,-20.1971
133,13400,-14.0564
135,13600,-15.1077
137,13800,-11.06
139,14000,-16.3308
141,14200,-18.8263
143,14400,-16.8594
145,14600,-19.187
147,14800,-13.0385
149,15000,-14.1031
151,15200,-13.0576
153,15400,-13.5087
155,15600,-19.7126
157,15800,-12.1638
159,16000,-12.7012
161,16200,-22.1729
163,16400,-17.2224
165,16600,-16.2767
167,16800,-15.5551
169,17000,-11.3482
171,17200,-9.6773
173,17400,-11.1279
175,17600,-11.9438
177,17800,-17.6725
179,18000,-14.1625
181,18200,-15.9874
183,18400,-13.7608
185,18600,-14.814
187,18800,-19.0428
189,19000,-17.0302
191,19200,-13.5705
193,19400,-11.8845
195,19600,-11.4718
197,19800,-18.9856
199,20000,-16.3089
201,20200,-15.2214
203,20400,-13.4603
205,20600,-12.0342
207,20800,-15.0767
209,21000,-15.0801
211,21200,-17.932
213,21400,-13.9598
215,21600,-10.1903
217,21800,-11.8996
219,22000,-12.1775
221,22200,-14.6225
223,22400,-15.5214
225,22600,-12.5946
227,22800,-17.2523
229,23000,-13.3034
231,23200,-13.14
233,23400,-11.4307
235,23600,-9.3203
237,23800,-14.3413
239,24000,-10.3599
241,24200,-11.5123
243,24400,-14.012
245,24600,-16.3128
247,24800,-15.4498
249,25000,-14.8085
251,25200,-13.1915
253,25400,-15.3203
255,25600,-15.0628
257,25800,-16.4508
259,26000,-13.7168
261,26200,-10.2121
263,26400,-14.5363
265,26600,-8.708
267,26800,-14.1344
269,27000,-12.9286
271,27200,-11.6753
273,27400,-15.3071
275,27600,-17.5061
277,27800,-13.4623
279,28000,-11.9469
281,28200,-15.6953
283,28400,-15.0692
285,28600,-11.0846
287,28800,-16.1225
289,29000,-13.7753
291,29200,-16.4225
293,29400,-18.7491
295,29600,-9.809
297,29800,-25.0361
299,30000,-18.4166
301,30200,-11.064
303,30400,-10.4947
305,30600,-15.3837
307,30800,-15.1973
309,31000,-15.4589
311,31200,-12.4126
313,31400,-11.6514
315,31600,-12.5064
317,31800,-11.8395
319,32000,-11.3986
321,32200,-9.3019
323,32400,-12.3539
325,32600,-14.0438
327,32800,-17.761
329,33000,-11.8805
331,33200,-15.6818
333,33400,-12.3793
335,33600,-9.6933
337,33800,-12.4693
339,34000,-11.8048
341,34200,-11.6925
343,34400,-14.7481
345,34600,-11.2893
347,34800,-14.2253
349,35000,-13.0229
351,35200,-12.4637
353,35400,-9.8261
355,35600,-16.5963
357,35800,-9.1474
359,36000,-13.6257
361,36200,-11.3447
363,36400,-10.0995
365,36600,-10.7736
367,36800,-13.1035
369,37000,-13.5728
371,37200,-20.4588
373,37400,-12.304
375,37600,-16.4591
377,37800,-14.2775
379,38000,-13.5641
381,38200,-16.9804
383,38400,-10.6976
385,38600,-15.8815
387,38800,-9.2062
389,39000,-14.7736
391,39200,-13.1009
393,39400,-12.9769
395,39600,-13.2969
397,39800,-10.9722
399,40000,-12.6496
401,40200,-14.0948
403,40400,-11.2874
405,40600,-12.642
407,40800,-8.8231
409,41000,-11.5687
411,41200,-13.4211
413,41400,-10.2768
415,41600,-12.4599
417,41800,-10.4141
419,42000,-8.7049
421,42200,-10.5106
423,42400,-13.3815
425,42600,-10.024
427,42800,-14.5684
429,43000,-8.3187
431,43200,-9.8015
433,43400,-13.6733
435,43600,-13.7052
437,43800,-13.5664
439,44000,-10.2991
441,44200,-11.2709
443,44400,-14.1175
445,44600,-10.7449
447,44800,-10.1446
449,45000,-15.2132
451,45200,-13.2509
453,45400,-14.3553
455,45600,-21.3591
457,45800,-11.9334
459,46000,-12.1709
461,46200,-10.5189
463,46400,-14.4067
465,46600,-13.4159
467,46800,-14.0734
469,47000,-16.8495
471,47200,-13.5001
473,47400,-12.1277
475,47600,-10.0142
477,47800,-13.047
479,48000,-12.5867
