episode,timestep,reward
1,200,-154.3327
3,400,-163.4062
5,600,-165.2166
7,800,-127.5484
9,1000,-123.5611
11,1200,-109.7396
13,1400,-123.3624
15,1600,-106.764
17,1800,-72.9276
19,2000,-89.1808
21,2200,-87.5403
23,2400,-62.3121
25,2600,-64.7043
27,2800,-43.2635
29,3000,-66.9877
31,3200,-61.6021
33,3400,-51.8124
35,3600,-39.4333
37,3800,-57.5627
39,4000,-41.6754
41,4200,-28.9799
43,4400,-40.7217
45,4600,-29.6544
47,4800,-35.0398
49,5000,-24.5072
51,5200,-29.3119
53,5400,-19.295
55,5600,-24.9685
57,5800,-14.6771
59,6000,-24.5898
61,6200,-18.4627
63,6400,-21.3821
65,6600,-17.6073
67,6800,-13.5561
69,7000,-14.4667
71,7200,-27.2576
73,7400,-18.5491
75,7600,-23.8042
77,7800,-21.6459
79,8000,-18.7009
81,8200,-17.1006
83,8400,-15.2879
85,8600,-16.4708
87,8800,-15.506
89,9000,-21.9088
91,9200,-23.7733
93,9400,-15.5497
95,9600,-12.7554
97,9800,-15.8164
99,10000,-21.0726
101,10200,-11.606
103,10400,-23.1801
105,10600,-18.9208
107,10800,-20.8994
109,11000,-18.4273
111,11200,-11.6821
113,11400,-14.9869
115,11600,-15.8846
117,11800,-12.0139
119,12000,-16.7779
121,12200,-18.7049
123,12400,-14.1201
125,12600,-14.2853
127,12800,-12.1317
129,13000,-11.6765
131,13200,-14.8031
133,13400,-15.0573
135,13600,-13.3454
137,13800,-13.1973
139,14000,-21.1348
141,14200,-14.4175
143,14400,-12.9496
145,14600,-12.1287
147,14800,-13.8508
149,15000,-20.208
151,15200,-11.1944
153,15400,-14.7669
155,15600,-16.3413
157,15800,-18.5133
159,16000,-24.3964
161,16200,-20.2506
163,16400,-14.1539
165,16600,-14.7309
167,16800,-13.814
169,17000,-16.4074
171,17200,-12.9118
173,17400,-16.0471
175,17600,-13.9131
177,17800,-15.0584
179,18000,-13.2206
181,18200,-10.9802
183,18400,-10.4774
185,18600,-14.8009
187,18800,-15.0179
189,19000,-11.2762
191,19200,-15.9089
193,19400,-22.2151
195,19600,-13.8904
197,19800,-27.0423
199,20000,-17.0988
201,20200,-22.0236
203,20400,-14.3156
205,20600,-17.402
207,20800,-10.1529
209,21000,-12.9562
211,21200,-13.5812
213,21400,-18.8698
215,21600,-12.0983
217,21800,-11.2457
219,22000,-18.7953
221,22200,-12.1404
223,22400,-13.1628
225,22600,-18.8569
227,22800,-18.4574
229,23000,-10.5196
231,23200,-13.261
233,23400,-9.6873
235,23600,-15.1367
237,23800,-12.5757
239,24000,-11.932
241,24200,-13.3919
243,24400,-18.3797
245,24600,-17.419
247,24800,-13.6161
249,25000,-10.3092
251,25200,-15.5235
253,25400,-9.6588
255,25600,-15.4651
257,25800,-13.0195
259,26000,-16.4659
261,26200,-10.7316
263,26400,-17.8621
265,26600,-15.5367
267,26800,-13.5259
269,27000,-14.3692
271,27200,-14.6004
273,27400,-11.1634
275,27600,-12.8087
277,27800,-15.5806
279,28000,-16.0634
281,28200,-14.3006
283,28400,-12.0729
285,28600,-16.601
287,28800,-17.2151
289,29000,-17.153
291,29200,-12.1296
293,29400,-13.7119
295,29600,-11.6277
297,29800,-14.1357
299,30000,-20.5417
301,30200,-14.1307
303,30400,-12.9708
305,30600,-12.8045
307,30800,-11.8303
309,31000,-11.2125
311,31200,-14.6315
313,31400,-13.7845
315,31600,-13.4265
317,31800,-10.5364
319,32000,-12.9057
321,32200,-11.1651
323,32400,-9.2955
325,32600,-12.2065
327,32800,-19.3696
329,33000,-12.1706
331,33200,-16.8266
333,33400,-9.6782
335,33600,-13.2243
337,33800,-14.0962
339,34000,-13.3471
341,34200,-13.5675
343,34400,-12.1902
345,34600,-13.4871
347,34800,-15.2196
349,35000,-15.4124
351,35200,-13.204
353,35400,-10.7814
355,35600,-15.4777
357,35800,-9.3955
359,36000,-14.1325
361,36200,-8.4431
363,36400,-17.5889
365,36600,-15.1129
367,36800,-11.4753
369,37000,-11.3706
371,37200,-10.4942
373,37400,-10.4063
375,37600,-13.4556
377,37800,-9.5388
379,38000,-11.3546
381,38200,-12.0248
383,38400,-15.442
385,38600,-15.1148
387,38800,-9.7287
389,39000,-10.5252
391,39200,-10.5146
393,39400,-16.2485
395,39600,-10.8565
397,39800,-13.2315
399,40000,-15.0249
401,40200,-10.2856
403,40400,-12.6244
405,40600,-12.4543
407,40800,-14.931
409,41000,-11.809
411,41200,-13.0049
413,41400,-11.9256
415,41600,-15.5976
417,41800,-11.9801
419,42000,-11.9361
421,42200,-17.4391
423,42400,-8.8776
425,42600,-12.0262
427,42800,-9.5598
429,43000,-12.5709
431,43200,-11.6964
433,43400,-11.7296
435,43600,-14.1191
437,43800,-10.755
439,44000,-11.3569
441,44200,-8.5345
443,44400,-12.4086
445,44600,-11.3444
447,44800,-12.7261
449,45000,-9.8475
451,45200,-9.888
453,45400,-15.8355
455,45600,-11.0724
457,45800,-10.8959
459,46000,-13.3835
461,46200,-11.4308
463,46400,-13.9741
465,46600,-10.9793
467,46800,-12.4034
469,47000,-12.3058
471,47200,-12.1645
473,47400,-10.129
475,47600,-13.5246
477,47800,-10.2994
479,48000,-11.1391
481,48200,-15.4411
483,48400,-10.4194
485,48600,-12.7829
487,48800,-10.016
489,49000,-15.7063
491,49200,-12.8965
493,49400,-11.7095
495,49600,-10.2922
497,49800,-12.9763
499,50000,-8.7271
501,50200,-9.2737
503,50400,-12.854
505,50600,-10.1162
507,50800,-9.74
509,51000,-11.813
511,51200,-10.4505
513,51400,-8.3224
515,51600,-13.2508
517,51800,-10.1727
519,52000,-10.4151
521,52200,-12.7267
523,52400,-11.1041
525,52600,-14.0388
527,52800,-9.4648
529,53000,-10.6447
531,53200,-12.1181
533,53400,-11.245
535,53600,-13.7136
537,53800,-9.4309
539,54000,-12.7937
541,54200,-12.947
543,54400,-9.6801
545,54600,-9.426
547,54800,-12.0534
549,55000,-12.4006
551,55200,-11.468
553,55400,-8.6548
555,55600,-9.3365
557,55800,-13.5612
559,56000,-10.8116
561,56200,-10.5439
563,56400,-12.175
565,56600,-11.2039
567,56800,-9.9174
569,57000,-11.3766
571,57200,-13.1055
573,57400,-11.9184
575,57600,-10.1897
577,57800,-11.6314
579,58000,-12.2272
581,58200,-12.84
583,58400,-10.6303
585,58600,-10.8957
587,58800,-12.679
589,59000,-10.0809
591,59200,-8.686
593,59400,-10.7182
595,59600,-10.2222
597,59800,-10.1355
599,60000,-9.7152
601,60200,-9.516
603,60400,-8.2812
605,60600,-10.187
607,60800,-11.9071
609,61000,-13.5584
611,61200,-11.6943
613,61400,-10.857
615,61600,-10.2823
617,61800,-8.6518
619,62000,-10.6681
621,62200,-10.8594
623,62400,-10.7532
625,62600,-9.1622
627,62800,-9.6226
629,63000,-11.2107
631,63200,-10.8288
633,63400,-8.8515
635,63600,-10.9935
637,63800,-11.4481
639,64000,-9.8945
641,64200,-10.8151
643,64400,-10.7119
645,64600,-8.3253
647,64800,-8.2357
649,65000,-9.235
651,65200,-8.8826
653,65400,-9.1379
655,65600,-11.1275
657,65800,-8.9637
659,66000,-9.1259
661,66200,-9.4539
663,66400,-11.7151
665,66600,-11.2089
667,66800,-10.7956
669,67000,-8.5364
671,67200,-11.5661
673,67400,-10.403
675,67600,-9.8743
677,67800,-9.3887
679,68000,-9.0647
681,68200,-9.1131
683,68400,-10.8365
685,68600,-8.884
687,68800,-10.9068
689,69000,-9.7169
691,69200,-8.8203
693,69400,-11.1096
695,69600,-9.8892
697,69800,-10.7026
699,70000,-13.5784
701,70200,-11.1668
703,70400,-10.3879
705,70600,-10.6317
707,70800,-9.2676
709,71000,-11.0492
711,71200,-9.09
713,71400,-9.6608
715,71600,-8.9285
717,71800,-11.6878
719,72000,-11.322
721,72200,-9.2467
723,72400,-11.7404
725,72600,-8.6384
727,72800,-8.2308
729,73000,-8.8191
731,73200,-8.4438
733,73400,-8.4616
735,73600,-9.3279
737,73800,-10.3549
739,74000,-9.0289
741,74200,-9.7467
743,74400,-8.7435
745,74600,-9.2138
747,74800,-9.0079
749,75000,-10.4457
751,75200,-9.7144
753,75400,-9.3357
755,75600,-7.5769
757,75800,-10.9399
759,76000,-11.1427
761,76200,-10.6828
763,76400,-10.5596
765,76600,-11.1531
767,76800,-9.117
769,77000,-11.6754
771,77200,-10.1869
773,77400,-9.2973
775,77600,-10.7558
777,77800,-9.3026
779,78000,-10.4405
781,78200,-12.2472
783,78400,-9.4587
785,78600,-8.5727
787,78800,-9.6426
789,79000,-9.9548
791,79200,-12.259
793,79400,-12.3494
795,79600,-10.2588
797,79800,-9.9284
799,80000,-9.5501
801,80200,-10.3229
803,80400,-8.9276
805,80600,-11.2789
807,80800,-8.0834
809,81000,-9.102
811,81200,-9.1138
813,81400,-10.1129
815,81600,-8.6108
817,81800,-9.0466
819,82000,-9.8143
821,82200,-9.1627
823,82400,-9.4925
825,82600,-9.401
827,82800,-8.2127
829,83000,-8.6214
831,83200,-9.3104
833,83400,-10.5813
835,83600,-10.7096
837,83800,-10.7768
839,84000,-9.5475
841,84200,-10.235
843,84400,-8.6759
845,84600,-10.3264
847,84800,-8.9925
849,85000,-10.0101
851,85200,-10.1008
853,85400,-8.3602
855,85600,-8.4557
857,85800,-8.2339
859,86000,-8.9057
861,86200,-8.3425
863,86400,-7.8147
865,86600,-8.9571
867,86800,-9.229
869,87000,-8.1298
871,87200,-9.6958
873,87400,-11.2292
875,87600,-7.7419
877,87800,-9.8293
879,88000,-7.9318
881,88200,-10.4903
883,88400,-10.3941
885,88600,-10.0147
887,88800,-11.0205
889,89000,-9.4801
891,89200,-11.7169
893,89400,-8.2969
895,89600,-8.6942
897,89800,-10.6547
899,90000,-8.5883
901,90200,-10.395
903,90400,-9.7957
905,90600,-9.528
907,90800,-8.5551
909,91000,-9.1633
911,91200,-9.1598
913,91400,-8.6673
915,91600,-9.1084
917,91800,-9.4946
919,92000,-9.383
921,92200,-9.4808
923,92400,-9.3517
925,92600,-8.7059
927,92800,-9.5375
929,93000,-8.7427
931,93200,-9.6579
933,93400,-8.3551
935,93600,-9.494
937,93800,-10.2358
939,94000,-8.7387
941,94200,-9.6896
943,94400,-9.5077
945,94600,-9.3907
947,94800,-9.0865
949,95000,-9.0617
951,95200,-8.3467
953,95400,-10.0868
955,95600,-10.5831
957,95800,-9.334
959,96000,-9.2537
961,96200,-8.6251
963,96400,-8.9165
965,96600,-10.3856
967,96800,-9.7997
969,97000,-9.485
971,97200,-9.0101
973,97400,-8.7028
975,97600,-9.155
977,97800,-9.6349
979,98000,-9.1283
981,98200,-8.7181
983,98400,-8.3983
985,98600,-8.0475
987,98800,-9.0921
989,99000,-8.2507
991,99200,-9.7213
993,99400,-10.623
995,99600,-9.121
997,99800,-9.8195
999,100000,-9.6833
